silabo,frekvenco,procento
(l|a),696434,5.5546
(d|e),397323,3.1690
(∅|a),264923,2.1130
# --- ĉi tiuj silaboj kune kovras 10.8365% (sojlo: 10%) ---
(t|i),237440,1.8938
(l|i),234882,1.8734
(k|a|j),231612,1.8473
(∅|o),210361,1.6778
(∅|e|s),180751,1.4416
(t|a),172078,1.3725
# --- ĉi tiuj silaboj kune kovras 20.9428% (sojlo: 20%) ---
(∅|e|n),171487,1.3677
(t|o),170712,1.3616
(k|i),170396,1.3590
(n|i),150766,1.2025
(m|i),145416,1.1598
(t|e),141270,1.1267
(∅|u),139145,1.1098
(n|e),136193,1.0862
# --- ĉi tiuj silaboj kune kovras 30.7162% (sojlo: 30%) ---
(r|i),132615,1.0577
(r|e),126832,1.0116
(r|o),124774,0.9952
(∅|a|l),122805,0.9795
(v|i),122262,0.9751
(∅|i),117603,0.9380
(d|o),116509,0.9292
(n|o),113379,0.9043
(∅|e),110622,0.8823
(k|o),101836,0.8122
# --- ĉi tiuj silaboj kune kovras 40.2012% (sojlo: 40%) ---
(t|a|s),99567,0.7941
(d|i),93895,0.7489
(c|i),93058,0.7422
(∅|a|n),91979,0.7336
(r|a),91798,0.7322
(p|o),91191,0.7273
(s|i),90136,0.7189
(l|o),89685,0.7153
(k|o|n),87639,0.6990
(∅|e|l),86990,0.6938
(n|a),82314,0.6565
(t|i|s),78254,0.6241
(m|o),75930,0.6056
(p|e),73337,0.5849
(∅|i|n),73107,0.5831
# --- ĉi tiuj silaboj kune kovras 50.5608% (sojlo: 50%) ---
(t|o|j),73079,0.5829
(m|a),71754,0.5723
(p|o|r),69796,0.5567
(k|e),65576,0.5230
(k|a),64944,0.5180
(ĉ|i),62597,0.4993
(l|e),62382,0.4975
(n|u),60429,0.4820
(t|u),59436,0.4740
(pr|i),56893,0.4538
(d|a),56380,0.4497
(s|o),55973,0.4464
(p|a),55540,0.4430
(m|a|l),54279,0.4329
(m|e),53912,0.4300
(f|a),50892,0.4059
(v|e),50041,0.3991
(t|a|j),49117,0.3917
(g|i),47692,0.3804
(r|i|s),47612,0.3797
(f|i),47554,0.3793
# --- ĉi tiuj silaboj kune kovras 60.2584% (sojlo: 60%) ---
(pr|e),44584,0.3556
(b|o),44472,0.3547
(v|o),44448,0.3545
(∅|a|j),44408,0.3542
(t|e|r),43683,0.3484
(k|u|n),43382,0.3460
(r|a|n),43295,0.3453
(∅|u|j),42812,0.3415
(ĝ|i),42756,0.3410
(pr|o),42469,0.3387
(d|i|s),40493,0.3230
(p|e|r),40125,0.3200
(z|i),39891,0.3182
(d|u),39719,0.3168
(v|a|s),37898,0.3023
(s|e),37392,0.2982
(∅|o|n),36916,0.2944
(s|a),36654,0.2923
(v|a),36647,0.2923
(m|e|n),36565,0.2916
(g|a),36334,0.2898
(c|o),35853,0.2860
(l|a|n),35708,0.2848
(s|e|d),35698,0.2847
(∅|a|m),35523,0.2833
(l|i|n),35043,0.2795
(∅|e|k),35014,0.2793
(c|e),34809,0.2776
(ĝ|i|s),34532,0.2754
(k|u),34339,0.2739
(∅|a|ŭ),34313,0.2737
(r|o|j),33977,0.2710
# --- ĉi tiuj silaboj kune kovras 70.1463% (sojlo: 70%) ---
(pl|i),33634,0.2683
(j|a),33535,0.2675
(n|i|s),32970,0.2630
(ĉ|e),32479,0.2590
(f|o|r),31939,0.2547
(t|o|n),31653,0.2525
(l|o|j),30892,0.2464
(n|o|j),30802,0.2457
(m|o|n),29762,0.2374
(s|e|n),29275,0.2335
(j|o),29057,0.2318
(k|a|ŭ),28024,0.2235
(ŝ|i),27939,0.2228
(f|e),27363,0.2182
(g|i|s),25334,0.2021
(h|a),25269,0.2015
(h|o),25169,0.2007
(s|u),25145,0.2006
(tr|o),24770,0.1976
(g|o),23898,0.1906
(ĝ|o),23773,0.1896
(b|e),23550,0.1878
(r|a|s),23229,0.1853
(p|a|r),23158,0.1847
(s|u|r),22963,0.1831
(v|e|r),22957,0.1831
(d|a|n),22928,0.1829
(n|a|s),22835,0.1821
(t|a|ŭ),22312,0.1780
(t|a|n),22276,0.1777
(r|o|n),22088,0.1762
(b|a),21825,0.1741
(l|o|n),21747,0.1734
(z|o),21741,0.1734
(v|i|s),21236,0.1694
(tr|a),20632,0.1646
(s|i|n),20022,0.1597
(f|o),19998,0.1595
(r|u),19995,0.1595
(r|e|s),19980,0.1594
(p|i),19935,0.1590
(n|o|n),19888,0.1586
(d|o|j),19740,0.1574
(m|a|n),19408,0.1548
(l|a|s),18821,0.1501
(j|u),18590,0.1483
(tr|i),18520,0.1477
(∅|u|n),18350,0.1464
(∅|a|jn),18249,0.1455
(∅|o|j),18208,0.1452
(l|u),18198,0.1451
(t|o|jn),18017,0.1437
# --- ĉi tiuj silaboj kune kovras 80.0688% (sojlo: 80%) ---
(m|u),17926,0.1430
(∅|i|s),17905,0.1428
(t|e|n),17865,0.1425
(j|e),17014,0.1357
(g|e),17004,0.1356
(g|a|s),16958,0.1353
(m|o|j),16626,0.1326
(m|u|l),16485,0.1315
(l|i|s),16279,0.1298
(r|a|j),16249,0.1296
(s|i|s),16244,0.1296
(z|a),16143,0.1288
(st|a),16129,0.1286
(n|u|r),16038,0.1279
(k|o|m),15977,0.1274
(ĉ|a|r),15797,0.1260
(∅|a|r),15765,0.1257
(d|o|n),15709,0.1253
(gr|a|n),15644,0.1248
(l|a|ŭ),15442,0.1232
(d|u|m),14968,0.1194
(sc|i),14808,0.1181
(ĉ|u),14648,0.1168
(d|a|s),14501,0.1157
(t|e|m),14478,0.1155
(n|a|n),14476,0.1155
