vorto,silaboj,frekvenco
la,(l|a),612479
de,(d|e),308999
kaj,(k|a|j),219359
en,(∅|e|n),146802
al,(∅|a|l),96398
estas,(∅|e|s)-(t|a|s),71030
ne,(n|e),68672
mi,(m|i),57988
por,(p|o|r),57813
li,(l|i),56887
ke,(k|e),53742
pri,(pr|i),47697
estis,(∅|e|s)-(t|i|s),37418
kiu,(k|i)-(∅|u),36394
sed,(s|e|d),35664
kun,(k|u|n),35437
ili,(∅|i)-(l|i),31607
el,(∅|e|l),31090
vi,(v|i),31061
kiel,(k|i)-(∅|e|l),30966
tiu,(t|i)-(∅|u),27456
ni,(n|i),24020
pli,(pl|i),23905
ĝi,(ĝ|i),22471
per,(p|e|r),21727
oni,(∅|o)-(n|i),21579
kiuj,(k|i)-(∅|u|j),19722
sur,(s|u|r),19173
tio,(t|i)-(∅|o),18990
aŭ,(∅|a|ŭ),18563
ankaŭ,(∅|a|n)-(k|a|ŭ),17668
ŝi,(ŝ|i),17522
da,(d|a),17305
ĉi,(ĉ|i),16757
nur,(n|u|r),15981
esperanto,(∅|e|s)-(p|e)-(r|a|n)-(t|o),15748
ĉar,(ĉ|a|r),15007
dum,(d|u|m),14597
kiam,(k|i)-(∅|a|m),14568
unu,(∅|u)-(n|u),13842
se,(s|e),13594
ĉu,(ĉ|u),13476
plej,(pl|e|j),13182
sia,(s|i)-(∅|a),13017
ĉe,(ĉ|e),12771
pro,(pr|o),12526
post,(p|o|st),12173
inter,(∅|i|n)-(t|e|r),11752
ol,(∅|o|l),11610
povas,(p|o)-(v|a|s),11569
sian,(s|i)-(∅|a|n),11513
diris,(d|i)-(r|i|s),11497
laŭ,(l|a|ŭ),11235
antaŭ,(∅|a|n)-(t|a|ŭ),11034
ĉiuj,(ĉ|i)-(∅|u|j),10993
jam,(j|a|m),10781
eĉ,(∅|e|ĉ),10555
tiuj,(t|i)-(∅|u|j),10484
tiel,(t|i)-(∅|e|l),10300
nun,(n|u|n),10117
lia,(l|i)-(∅|a),10020
du,(d|u),9960
mia,(m|i)-(∅|a),9934
ĝin,(ĝ|i|n),9783
