silabo1,silabo2,frekvenco,procento
es,tas,71217,1.0977
i,li,39989,0.6164
es,tis,37959,0.5851
ki,u,36417,0.5613
in,ter,32000,0.4932
ki,el,31177,0.4806
es,pe,29923,0.4612
ti,u,28699,0.4424
u,nu,28077,0.4328
pe,ran,27604,0.4255
ti,o,24910,0.3840
a,li,23807,0.3670
o,ni,22110,0.3408
li,a,20156,0.3107
ki,uj,19737,0.3042
ci,a,19308,0.2976
ci,o,18141,0.2796
an,kaŭ,17668,0.2723
an,taŭ,17565,0.2707
ran,to,16379,0.2525
na,ci,15205,0.2344
ki,am,14568,0.2245
si,a,14499,0.2235
li,aj,13938,0.2148
mi,li,13611,0.2098
la,bo,13433,0.2071
ni,o,13294,0.2049
# --- ĉi tiuj paroj kune kovras 10.1944% (sojlo: 10%) ---
kon,traŭ,12794,0.1972
so,ci,12706,0.1958
ne,ni,12636,0.1948
ri,o,12203,0.1881
mi,a,12021,0.1853
o,ka,11980,0.1847
di,ris,11909,0.1836
po,vas,11670,0.1799
si,an,11601,0.1788
pa,ro,11512,0.1774
ĉi,uj,10993,0.1694
fa,ri,10707,0.1650
ti,uj,10484,0.1616
ti,el,10322,0.1591
lan,do,10121,0.1560
ha,vas,10010,0.1543
po,li,9840,0.1517
ter,na,9476,0.1461
ko,men,9375,0.1445
a,pe,9064,0.1397
ta,men,9050,0.1395
li,o,9032,0.1392
di,o,8847,0.1364
ki,un,8823,0.1360
ĉi,u,8654,0.1334
u,so,8533,0.1315
eŭ,ro,8361,0.1289
li,ti,8317,0.1282
res,pon,8254,0.1272
ki,o,8144,0.1255
ta,ro,8124,0.1252
ti,e,8123,0.1252
e,ter,8077,0.1245
gran,da,7968,0.1228
ti,on,7966,0.1228
ja,roj,7879,0.1214
nu,lo,7751,0.1195
ni,a,7718,0.1190
es,ti,7673,0.1183
nu,a,7628,0.1176
vi,a,7483,0.1153
i,lin,7446,0.1148
lin,gvo,7440,0.1147
pre,zi,7405,0.1141
ti,ko,7363,0.1135
ko,mu,7357,0.1134
to,ri,7295,0.1124
dan,to,7255,0.1118
or,ga,7123,0.1098
ter,nu,7068,0.1089
pub,li,7063,0.1089
tu,te,7015,0.1081
u,ni,6993,0.1078
gi,o,6987,0.1077
pos,te,6914,0.1066
no,va,6854,0.1056
ti,un,6825,0.1052
zi,dan,6766,0.1043
ga,ni,6762,0.1042
ti,am,6731,0.1037
te,re,6701,0.1033
li,an,6648,0.1025
in,te,6575,0.1013
de,man,6559,0.1011
e,lek,6500,0.1002
li,be,6418,0.0989
no,mi,6374,0.0982
ci,oj,6365,0.0981
de,vas,6263,0.0965
mul,taj,6259,0.0965
po,po,6234,0.0961
ve,nis,6227,0.0960
ri,gi,6183,0.0953
ki,e,6145,0.0947
an,ko,6138,0.0946
ko,raŭ,6138,0.0946
kom,pre,6091,0.0939
# --- ĉi tiuj paroj kune kovras 20.0023% (sojlo: 20%) ---
ki,on,6085,0.0938
ran,tis,6083,0.0938
si,aj,5983,0.0922
ma,ni,5966,0.0920
bo,ne,5866,0.0904
a,fe,5865,0.0904
a,ten,5774,0.0890
es,tos,5763,0.0888
re,gis,5754,0.0887
li,gi,5651,0.0871
mul,te,5569,0.0858
o,ku,5567,0.0858
ri,gar,5562,0.0857
eb,le,5543,0.0854
to,ro,5542,0.0854
kon,si,5528,0.0852
ho,moj,5509,0.0849
e,ko,5477,0.0844
ti,a,5476,0.0844
mon,do,5461,0.0842
kon,gre,5458,0.0841
prok,si,5323,0.0820
li,to,5293,0.0816
ko,no,5293,0.0816
ne,ra,5286,0.0815
sin,jo,5279,0.0814
ri,ce,5252,0.0810
men,to,5228,0.0806
si,ajn,5221,0.0805
ri,la,5214,0.0804
a,par,5199,0.0801
par,te,5183,0.0799
o,no,5180,0.0798
o,fi,5177,0.0798
o,ri,5168,0.0797
tu,ta,5130,0.0791
tem,po,5123,0.0790
i,om,5080,0.0783
pe,ris,5077,0.0783
re,a,5074,0.0782
do,nis,5061,0.0780
kul,tu,5049,0.0778
fo,je,5033,0.0776
gi,ta,5019,0.0774
pre,zen,4946,0.0762
so,no,4942,0.0762
ins,tru,4931,0.0760
ek,zis,4905,0.0756
fa,ci,4818,0.0743
lan,doj,4806,0.0741
te,ro,4774,0.0736
va,do,4731,0.0729
de,ci,4719,0.0727
ek,zem,4679,0.0721
fi,ne,4669,0.0720
ha,vis,4661,0.0718
tu,ro,4640,0.0715
suk,ce,4640,0.0715
ki,ujn,4635,0.0714
kel,kaj,4632,0.0714
mi,nis,4622,0.0712
ma,la,4619,0.0712
do,ni,4613,0.0711
ko,lo,4611,0.0711
ri,no,4608,0.0710
ta,do,4593,0.0708
ĉi,am,4588,0.0707
in,for,4585,0.0707
ti,ta,4553,0.0702
mo,na,4547,0.0701
tro,vi,4531,0.0698
ta,to,4507,0.0695
a,ma,4505,0.0694
ri,ta,4503,0.0694
fa,ris,4485,0.0691
tem,pe,4449,0.0686
gis,ta,4445,0.0685
lo,gi,4418,0.0681
ju,nu,4400,0.0678
vo,lu,4385,0.0676
a,so,4366,0.0673
ko,mi,4364,0.0673
par,top,4361,0.0672
aŭ,to,4360,0.0672
i,de,4355,0.0671
top,re,4350,0.0670
di,ras,4337,0.0668
pe,ri,4336,0.0668
mo,va,4318,0.0666
tis,toj,4316,0.0665
ni,ver,4314,0.0665
ka,zis,4295,0.0662
ĉir,kaŭ,4272,0.0658
kon,du,4261,0.0657
si,o,4244,0.0654
si,mi,4237,0.0653
kom,pa,4232,0.0652
ti,gi,4208,0.0649
e,li,4202,0.0648
vi,vo,4175,0.0644
te,ra,4135,0.0637
per,so,4133,0.0637
sci,as,4125,0.0636
ĝe,ne,4115,0.0634
his,to,4107,0.0633
ger,ma,4105,0.0633
fi,lo,4093,0.0631
bo,na,4092,0.0631
ti,ka,4092,0.0631
mi,ta,4091,0.0631
in,fa,4087,0.0630
ci,aj,4068,0.0627
di,ver,4063,0.0626
par,ti,4032,0.0621
ki,es,4024,0.0620
ne,ce,4020,0.0620
me,mo,4004,0.0617
es,tus,3997,0.0616
vo,las,3947,0.0608
ĝi,a,3938,0.0607
ra,pi,3932,0.0606
ur,bo,3930,0.0606
mal,pli,3927,0.0605
te,co,3923,0.0605
lib,ro,3908,0.0602
i,ta,3861,0.0595
pre,ci,3850,0.0593
te,ri,3847,0.0593
tu,a,3834,0.0591
ek,ster,3796,0.0585
ve,re,3786,0.0584
ja,ro,3779,0.0582
vi,ri,3763,0.0580
i,u,3758,0.0579
ra,ci,3752,0.0578
si,ta,3721,0.0574
po,vis,3718,0.0573
sa,me,3716,0.0573
ak,cep,3709,0.0572
po,vus,3704,0.0571
kons,tru,3700,0.0570
# --- ĉi tiuj paroj kune kovras 30.0551% (sojlo: 30%) ---
ni,e,3691,0.0569
vi,dis,3669,0.0566
do,mo,3662,0.0564
vi,zi,3657,0.0564
so,na,3643,0.0562
ro,pa,3627,0.0559
ri,gis,3627,0.0559
mi,an,3624,0.0559
tra,du,3618,0.0558
kvan,kam,3603,0.0555
zem,ple,3598,0.0555
el,do,3578,0.0551
ri,ĝis,3573,0.0551
a,mi,3565,0.0549
le,vi,3565,0.0549
pro,po,3564,0.0549
pres,kaŭ,3547,0.0547
su,fi,3532,0.0544
jo,ro,3523,0.0543
ver,si,3516,0.0542
ĉi,o,3514,0.0542
de,zi,3513,0.0541
re,co,3513,0.0541
kva,zaŭ,3487,0.0537
po,lo,3477,0.0536
ni,u,3472,0.0535
re,gi,3464,0.0534
o,pi,3429,0.0529
ga,ze,3415,0.0526
ci,on,3415,0.0526
fe,ro,3414,0.0526
of,te,3408,0.0525
bo,ris,3407,0.0525
re,ve,3406,0.0525
pi,ni,3403,0.0525
fe,ren,3376,0.0520
a,tin,3369,0.0519
ho,mo,3366,0.0519
ti,ve,3340,0.0515
si,de,3335,0.0514
ni,am,3329,0.0513
fi,nan,3325,0.0513
va,lo,3310,0.0510
men,ci,3308,0.0510
ak,ti,3297,0.0508
in,sti,3258,0.0502
lek,ti,3246,0.0500
ek,de,3236,0.0499
lo,ĝan,3231,0.0498
re,ĝo,3229,0.0498
ba,ta,3225,0.0497
te,mo,3224,0.0497
na,to,3212,0.0495
mal,sa,3211,0.0495
mi,na,3210,0.0495
ko,na,3205,0.0494
ni,ta,3200,0.0493
di,rek,3182,0.0490
sta,ri,3180,0.0490
ra,kon,3172,0.0489
na,ta,3171,0.0489
ta,go,3169,0.0488
su,per,3148,0.0485
ga,do,3147,0.0485
sti,tu,3137,0.0484
li,te,3136,0.0483
es,tu,3119,0.0481
du,a,3119,0.0481
pro,duk,3119,0.0481
in,di,3119,0.0481
po,ten,3115,0.0480
lon,ge,3105,0.0479
de,mok,3103,0.0478
mok,ra,3098,0.0478
a,la,3093,0.0477
mal,bo,3088,0.0476
a,do,3083,0.0475
ŝi,a,3073,0.0474
li,ajn,3069,0.0473
ku,ra,3068,0.0473
ra,di,3067,0.0473
kla,ri,3066,0.0473
sci,en,3052,0.0470
ar,ti,3049,0.0470
ri,a,3048,0.0470
ti,va,3043,0.0469
fa,mi,3036,0.0468
prob,le,3033,0.0467
per,me,3026,0.0466
ri,ko,3016,0.0465
be,zo,3013,0.0464
zis,tas,3000,0.0462
bo,ro,2996,0.0462
li,ka,2993,0.0461
sig,ni,2985,0.0460
prog,ra,2984,0.0460
do,na,2983,0.0460
mi,o,2978,0.0459
fi,ci,2971,0.0458
